taxid,ko
138948,K25298
138949,K25298
138951,K25298
138950,K25298
138948,K25299
138949,K25299
138951,K25299
12131,K25299
138950,K25299
138948,K00985
138949,K00985
138951,K00985
138950,K00985
122928,K25320
340017,K25320
122929,K25320
122928,K25321
340017,K25321
122929,K25321
122928,K25322
340017,K25322
122929,K25322
122928,K25324
340017,K25324
122929,K25324
122928,K25325
340017,K25325
122929,K25325
122928,K25323
340017,K25323
122929,K25323
11072,K25327
11084,K25327
11060,K25327
11053,K25327
11069,K25327
11070,K25327
64320,K25327
11082,K25327
11072,K25331
11060,K25331
11053,K25331
11069,K25331
11070,K25331
64320,K25331
11082,K25331
11072,K25330
11084,K25330
11060,K25330
11053,K25330
11069,K25330
11070,K25330
64320,K25330
11082,K25330
11072,K25326
11084,K25326
11060,K25326
11053,K25326
11069,K25326
11070,K25326
64320,K25326
11082,K25326
11072,K25329
11060,K25329
11053,K25329
11069,K25329
11070,K25329
64320,K25329
11082,K25329
11072,K25328
11079,K25328
11084,K25328
11060,K25328
11089,K25328
11053,K25328
11069,K25328
11070,K25328
59563,K25328
64286,K25328
64303,K25328
64320,K25328
11082,K25328
11072,K25332
11084,K25332
11060,K25332
11053,K25332
11069,K25332
11070,K25332
64320,K25332
11082,K25332
1206566,K21077
167634,K21077
12161,K21077
12162,K21077
940280,K21077
64003,K21077
255587,K21535
208086,K21535
2560401,K21535
12142,K21535
12143,K21535
12145,K21535
270256,K21535
254711,K21535
35280,K21535
137556,K21535
208084,K21535
39443,K21535
12144,K21535
11232,K19376
11234,K19376
11240,K19376
37131,K19376
11242,K19376
2593991,K19376
11232,K19378
11234,K19378
11240,K19378
37131,K19378
11242,K19378
2593991,K19378
11232,K19379
11234,K19379
11240,K19379
37131,K19379
11242,K19379
2593991,K19379
11232,K19380
11234,K19380
11240,K19380
37131,K19380
11242,K19380
2593991,K19380
11232,K19381
11234,K19381
11240,K19381
37131,K19381
11242,K19381
2593991,K19381
11232,K19377
11234,K19377
11240,K19377
37131,K19377
11242,K19377
2593991,K19377
11242,K22280
130760,K19389
1332244,K19389
641809,K19389
11553,K19389
1173138,K19389
93838,K19389
488241,K19389
335341,K19389
211044,K19389
518987,K19389
130760,K19392
1332244,K19392
641809,K19392
518987,K19392
93838,K19392
488241,K19392
335341,K19392
211044,K19392
130760,K19390
1332244,K19390
641809,K19390
11553,K19390
1173138,K19390
93838,K19390
488241,K19390
335341,K19390
211044,K19390
518987,K19390
211044,K25146
93838,K25146
335341,K25146
488241,K25146
1332244,K25146
641809,K25146
130760,K19388
1332244,K19388
641809,K19388
11553,K19388
1173138,K19388
93838,K19388
488241,K19388
335341,K19388
211044,K19388
518987,K19388
1332244,K19391
641809,K19391
518987,K19391
11553,K19391
1173138,K19391
93838,K19391
488241,K19391
335341,K19391
130760,K19391
211044,K19391
1332244,K19395
641809,K19395
93838,K19395
488241,K19395
335341,K19395
130760,K19395
211044,K19395
130760,K19396
1332244,K19396
488241,K19396
641809,K19396
335341,K19396
93838,K19396
211044,K19396
130760,K19393
1332244,K19393
641809,K19393
518987,K19393
488241,K19393
335341,K19393
93838,K19393
211044,K19393
130760,K19394
1332244,K19394
641809,K19394
93838,K19394
488241,K19394
335341,K19394
211044,K19394
1332244,K19397
488241,K19397
335341,K19397
211044,K19397
93838,K19397
130760,K19251
1332244,K19251
641809,K19251
93838,K19251
488241,K19251
335341,K19251
211044,K19251
211044,K25160
211044,K25161
518987,K25502
11553,K19253
1173138,K19253
11553,K22201
883876,K24320
1134579,K24320
743685,K24320
1588685,K24320
1535802,K24320
