ko,name
"K06476","ITGA2B"
"K05082","MPL"
"K13822","HBA1"
"K13823","HBB"
"K13824","HBG1"
"K10380","ANK1"
"K06115","SPTB"
"K06114","SPTA1"
"K06573","SLC4A1"
"K25094","EPB42"
"K06107","EPB41"
"K06580","RHAG"
"K22128","PIEZO1"
"K04945","KCNN4"
"K05661","ABCB6"
"K07299","SLC2A1"
"K10352","MYH9"
"K19532","LBR"
"K00326","CYB5R3"
"K23490","CYB5A"
"K05079","EPOR"
"K12459","SH2B3"
"K09592","EGLN1"
"K09095","EPAS1"
"K05437","EPO"
"K01837","BPGM"
"K02966","RPS19"
"K02974","RPS24"
"K02962","RPS17"
"K02917","RPL35A"
"K02932","RPL5"
"K02868","RPL11"
"K02993","RPS7"
"K02947","RPS10"
"K02976","RPS26"
"K02898","RPL26"
"K02877","RPL15"
"K02980","RPS29"
"K14800","TSR2"
"K02979","RPS28"
"K02901","RPL27"
"K02978","RPS27"
"K02883","RPL18"
"K02918","RPL35"
"K02957","RPS15A"
"K10888","FANCA"
"K10889","FANCB"
"K10890","FANCC"
"K10891","FANCD2"
"K10892","FANCE"
"K10893","FANCF"
"K10894","FANCG"
"K10895","FANCI"
"K10606","FANCL"
"K10896","FANCM"
"K10870","RAD51C"
"K10484","SLX4"
"K13960","UBE2T"
"K10879","XRCC2"
"K13728","MAD2L2"
"K15691","RFWD3"
"K14425","SLC12A1"
"K04995","KCNJ1"
"K05018","CLCNKB"
"K19331","BSND"
"K24127","MAGED2"
"K04612","CASR"
"K14426","SLC12A3"
"K18245","CA2"
"K04825","SCNN1B"
"K04827","SCNN1G"
"K04824","SCNN1A"
"K08555","NR3C2"
"K08867","WNK4"
"K10443","KLHL3"
"K03869","CUL3"
"K04632","GNAS"
"K08489","STX16"
"K15175","CDC73"
"K21598","GCM2"
"K08362","THRB"
"K04249","TSHR"
"K09293","PAX8"
"K05251","TSHB"
"K09345","NKX2-5"
"K05547","THRA"
"K04282","TRHR"
"K04508","TBL1X"
"K17446","IRS4"
"K14385","SLC5A5"
"K00431","TPO"
"K14702","SLC26A4"
"K09401","FOXI1"
"K17231","IYD"
"K17232","DUOXA2"
"K10809","TG"
"K13411","DUOX2"
"K04228","AVPR2"
"K09865","AQP2"
"K05242","AVP"
"K05438","GH1"
"K04584","GHRHR"
"K09363","POU1F1"
"K09327","PROP1"
"K09374","LHX3"
"K09354","HESX1"
"K18490","OTX2"
"K13157","RNPC3"
"K09267","SOX3"
"K04284","GHSR"
"K23413","KAL1"
"K08380","PROKR2"
"K24191","PROK2"
"K14437","CHD7"
"K04280","GNRHR"
"K08374","KISS1R"
"K23844","NSMF"
"K05240","TAC3"
"K04224","TACR3"
"K05252","GNRH1"
"K23140","KISS1"
"K24260","WDR11"
"K02514","HS6ST1"
"K06840","SEMA3A"
"K17385","SPRY4"
"K05167","IL17RD"
"K21946","DUSP6"
"K16362","FLRT3"
"K24502","FEZF1"
"K08521","LHB"
"K05250","FSHB"
"K25687","NDNF"
"K22398","MRAP"
"K00323","NNT"
"K22182","TXNRD2"
"K14320","AAAS"
"K07433","CYP11B2"
"K00071","HSD11B2"
"K04739","PRKAR1A"
"K13298","PDE11A"
"K18437","PDE8B"
"K19332","MKS1"
"K19385","TMEM216"
"K19348","TMEM67"
"K16533","CEP290"
"K16550","RPGRIP1L"
"K19352","CC2D2A"
"K19360","NPHP3"
"K19361","TCTN2"
"K16744","B9D1"
"K16745","B9D2"
"K19362","TMEM231"
"K17915","KIF14"
"K22764","TMEM107"
"K00548","MTR"
"K00288","MTHFD1"
"K18806","KIF7"
"K19289","PMP22"
"K06770","MPZ"
"K19363","LITAF"
"K12496","EGR2"
"K04572","NEFL"
"K24977","PMP2"
"K06030","MFN2"
"K07897","RAB7A"
"K12641","LMNA"
"K08073","PNKP"
"K04973","TRPV4"
"K01880","GARS"
"K01539","ATP1A1"
"K13348","MPV17"
"K04455","HSPB1"
"K06780","CADM3"
"K18443","GBF1"
"K06052","JAG1"
"K22077","GDAP1"
"K19530","JPH1"
"K08879","HSPB8"
"K23484","DNM2"
"K01872","AARS"
"K10413","DYNC1H1"
"K10641","LRSAM1"
"K15791","DHTKD1"
"K11997","TRIM2"
"K19036","IGHMBP2"
"K01874","MARS"
"K01892","HARS"
"K13525","VCP"
"K24135","MORC2"
"K18081","MTMR2"
"K18061","SBF2"
"K24313","SH3TC2"
"K18266","NDRG1"
"K05723","FGD4"
"K14998","SURF1"
"K03454","SLC25A46"
"K00868","PDXK"
"K07620","GJB1"
"K00898","PDK3"
"K01866","YARS"
"K23958","INF2"
"K04538","GNB4"
"K04567","KARS"
"K19464","PLEKHG5"
"K02266","COX6A1"
"K00654","SPTLC1"
"K23880","FAM134B"
"K04841","SCN9A"
"K11373","IKBKAP"
"K02582","NGFB"
"K10382","DST"
"K04843","SCN11A"
"K24255","PRDM12"
"K17339","ATL1"
"K00558","DNMT1"
"K09497","CCT5"
"K06550","L1CAM"
"K17271","PLP1"
"K13254","SPAST"
"K07430","CYP7B1"
"K19364","NIPA1"
"K09552","SPG7"
"K18464","WSHC5"
"K12657","ALDH18A1"
"K10396","KIF5A"
"K20722","RTN2"
"K04077","HSPD1"
"K19027","ZFYVE26"
"K19365","BSCL2"
"K23341","ERLIN2"
"K19366","SPART"
"K19367","SPG21"
"K16288","DSTYK"
"K00725","B4GALNT1"
"K13619","DDHD1"
"K17338","REEP1"
"K19368","ZFYVE27"
"K19703","FA2H"
"K14676","PNPLA6"
"K03372","SLC33A1"
"K23168","C19orf12"
"K07619","GJC2"
"K01081","NT5C2"
"K17108","GBA2"
"K12401","AP4B1"
"K19025","AP5Z1"
"K23881","TECPR2"
"K12402","AP4M1"
"K12400","AP4E1"
"K12403","AP4S1"
"K12185","VPS37A"
"K16545","DDHD2"
"K23498","MTRFR"
"K07422","CYP2U1"
"K09292","TFG"
"K24864","ARL6IP1"
"K01490","AMPD2"
"K01510","ENTPD1"
"K19524","CPT1C"
"K22073","IBA57"
"K06771","MAG"
"K01367","CAPN1"
"K01889","FARS2"
"K24629","UBAP1"
"K00993","SELENOI"
"K00967","PCYT2"
"K24788","HPDL"
"K00888","PI4KA"
"K15707","RNF170"
"K25824","ABHD16A"
"K19473","SIX3"
"K19383","TGIF1"
"K06235","ZIC2"
"K16798","GLI2"
"K20033","CDON"
"K12604","CNOT1"
"K06671","STAG2"
"K16794","PAFAH1B1"
"K06249","RELN"
"K16738","NDE1"
"K05636","LAMB1"
"K18643","KATNB1"
"K02090","CDK5"
"K23424","TMTC3"
"K19827","MACF1"
"K16766","CEP85L"
"K16579","DCX"
"K09452","ARX"
"K19403","MCPH1"
"K21762","WDR62"
"K16542","CDK5RAP2"
"K11542","KNL1"
"K16743","ASPM"
"K11502","CENPJ"
"K16724","STIL"
"K16461","CEP135"
"K16728","CEP152"
"K24371","ZNF335"
"K11456","PHC1"
"K02091","CDK6"
"K11498","CENPE"
"K16487","SASS6"
"K23894","MFSD2A"
"K21412","ANKLE2"
"K16308","CIT"
"K22262","WDFY3"
"K17302","COPB2"
"K06677","NCAPD2"
"K11491","NCAPD3"
"K06676","NCAPH"
"K14302","NUP37"
"K24261","TRAPPC14"
"K07611","LMNB1"
"K14545","RRP7A"
"K04437","FLNA"
"K18442","ARFGEF2"
"K25139","ERMARD"
"K13305","NEDD4L"
"K07937","ARF1"
"K10429","MAP1B"
"K08450","ADGRG1"
"K19720","COL3A1"
"K13444","SUMF1"
"K01371","CTSK"
"K01275","CTSC"
"K12386","CTNS"
"K13289","CTSA"
"K12800","NLRP3"
"K10165","NOD2"
"K08202","SLC22A4"
"K05478","TNFSF15"
"K05065","IL23R"
"K17890","ATG16L1"
"K14139","IRGM"
"K05135","IL10RB"
"K05134","IL10RA"
"K12804","PSTPIP1"
"K12803","MEFV"
"K07985","MICA"
"K20864","NALP7"
"K25076","KHDC3L"
"K25318","MEI1"
"K24789","C11orf80"
"K10744","RNASEH2B"
"K10745","RNASEH2C"
"K10743","RNASEH2A"
"K22544","SAMHD1"
"K12968","ADAR"
"K12647","IFIH1"
"K25592","LSM11"
"K17751","MYH7"
"K00907","MYLK2"
"K12959","CAV3"
"K12045","TNNT2"
"K10373","TPM1"
"K12568","MYBPC3"
"K12044","TNNI3"
"K12749","MYL3"
"K12567","TTN"
"K10351","MYL2"
"K12314","ACTC1"
"K09377","CSRP3"
"K05865","TNNC1"
"K05700","VCL"
"K05852","PLN"
"K23918","NEXN"
"K22028","MYPN"
"K21073","ACTN2"
"K19867","LDB3"
"K19879","TCAP"
"K08868","ALPK3"
"K23957","FMNL3"
"K04962","RYR2"
"K10381","DSP"
"K12642","PKP2"
"K07597","DSG2"
"K07601","DSC2"
"K10056","JUP"
"K05691","CTNNA3"
"K06736","CDH2"
"K10366","DMD"
"K04838","SCN5A"
